(0, -2, -2, -1, -1, 0, -1, -1) ,Ready
(-2, -2, -4, -3, -2, 0, -2, 0) ,Ready
(0, -2, 0, 0, -1, 0, -3, -1) ,Ready
(-2, -1, -1, 0, -2, -1, -1, -2) ,Ready
(-1, 1, 1, -2, 0, -3, -1, 0) ,Ready
(-2, 0, 1, -1, -1, -2, -2, 0) ,Ready
(0, -2, -2, -4, -3, -1, -1, -2) ,Ready
(0, -2, -1, -1, -1, -1, -2, -2) ,Ready
(-1, -1, -2, -1, 0, -2, -1, -1) ,Ready
(-1, 1, 1, -1, 0, -3, 0, 2) ,Ready
(-2, 0, -1, 0, -1, -1, 0, 2) ,Ready
(-2, -1, 0, -1, -1, -1, -2, -1) ,Ready
(0, -1, 0, -2, -3, -1, 0, -2) ,Ready
(0, -1, -1, -2, 0, -2, -1, 0) ,Ready
(-3, -1, -2, 0, 0, -2, 0, -1) ,Ready
(-1, -2, -4, -3, 0, 0, 0, 0) ,Ready
(-2, -1, -2, -2, -2, -1, -3, -1) ,Ready
(0, 0, -2, -2, -1, -3, -3, -2) ,Ready
(0, 0, 0, -1, -2, 0, 0, -1) ,Ready
(-2, -1, -2, -1, -1, -2, -3, -1) ,Ready
(-1, 0, 0, 0, -2, -2, -1, -1) ,Ready
(1, -1, -1, -2, -2, 0, 0, -1) ,Ready
(-1, -3, 1, -1, 0, -2, -1, -1) ,Ready
(0, 0, -2, -1, -2, -1, 0, -3) ,Ready
(-1, -3, -1, -1, -1, -1, -1, -2) ,Ready
(-1, -1, 0, -2, 0, 0, -1, -1) ,Ready
(-2, 0, -1, -3, -1, -1, -1, -1) ,Ready
(-1, -2, 0, -1, 1, -1, -3, -1) ,Ready
(-1, -3, 0, 1, -2, -1, -2, -2) ,Ready
(-2, -1, -1, 0, -1, -1, 0, 0) ,Ready
(-1, -1, -1, 0, -1, -1, 0, -1) ,Ready
(0, -1, 0, 1, -1, -2, -1, 0) ,Ready
(-1, -1, -2, -1, 0, -3, -1, -2) ,Ready
(-1, -1, -1, -1, -2, -1, 0, -1) ,Ready
(-2, -1, 0, 1, 0, 0, -1, -1) ,Ready
(-1, -1, 0, -2, 1, 0, -1, -1) ,Ready
(1, 0, -1, 0, -1, -1, -2, -2) ,Ready
(0, -1, -2, -2, -1, -2, 0, -2) ,Ready
(0, 0, -2, -3, -2, 0, -2, -1) ,Ready
(-1, -2, -2, 1, -3, -1, 0, -2) ,Ready
(-1, 0, 0, -3, -1, -1, 0, 0) ,Ready
(-2, -2, -2, -1, 0, -2, -2, 0) ,Ready
(-2, -2, -1, -2, -2, -1, -3, 1) ,Ready
(-1, 1, -1, -2, -1, -1, 0, 0) ,Ready
(-2, -1, -2, 0, -1, -1, -1, -1) ,Ready
(-1, -1, 0, 0, 0, -1, -1, 0) ,Ready
(-1, -2, -2, 1, 0, -1, -1, -2) ,Ready
(-1, -1, -1, -1, -2, -2, -1, 0) ,Ready
(-2, -1, -1, -1, -1, 0, 0, -2) ,Ready
(-1, 0, -2, -4, -1, -1, -1, 1) ,Ready
(0, -1, 0, -3, 0, 0, -2, 0) ,Ready
(0, 2, 1, 0, -1, -2, 0, -3) ,Ready
(-1, -1, -4, -2, -1, -1, -1, -2) ,Ready
(-1, 0, 0, -1, -2, -2, -1, -1) ,Ready
(-3, -2, -4, -2, -4, -2, -1, -4) ,Ready
(0, -1, -2, 0, 0, 0, 0, -1) ,Ready
(-1, 0, -2, -1, 0, -2, -2, -1) ,Ready
(-1, -1, 0, -2, -2, 0, -2, -1) ,Ready
(0, -2, -2, -2, 0, -1, -2, -1) ,Ready
(-1, -1, -1, -2, 0, -2, -2, -1) ,Ready
(-1, -1, -3, -2, -2, -1, -3, -2) ,Ready
(-1, -2, 0, 1, -2, -1, 0, -1) ,Ready
(0, 0, -1, 1, 0, -1, -1, -2) ,Ready
(-1, -1, 1, -1, -3, 0, 0, 0) ,Ready
(0, 0, 0, 0, -1, -2, -1, 0) ,Ready
(-2, -1, 0, -2, -2, 0, 0, 0) ,Ready
(-1, -1, -2, 0, -1, 0, -1, -1) ,Ready
(-2, -1, -3, -2, -3, -2, 0, -1) ,Ready
(-1, -3, 0, 1, 1, -1, -2, -1) ,Ready
(-1, -2, -2, -1, -1, -2, -2, -3) ,Ready
(2, 1, -1, -1, 0, -2, -1, 0) ,Ready
(0, -3, -2, -1, 0, 0, -2, -1) ,Ready
(-1, 0, 2, 1, 0, -2, 0, 1) ,Ready
(0, -2, -1, -1, 0, -1, -2, -2) ,Ready
(-2, -1, -1, 1, 0, -1, -1, -1) ,Ready
(-1, -1, -2, -2, -2, -1, -1, 0) ,Ready
(-2, -3, 0, -1, -1, 1, 0, -1) ,Ready
(-2, -2, -2, 0, 0, 0, -1, 1) ,Ready
(-1, -2, 0, 0, -1, -3, -1, 0) ,Ready
(-2, -1, -2, -1, -1, -1, -1, -3) ,Ready
(-2, -3, -2, 0, -2, 0, -1, 0) ,Ready
(-1, 0, 0, -2, -2, -1, 0, 0) ,Ready
(1, 0, 1, -2, -2, 0, -1, -3) ,Ready
(0, -3, 0, 1, -1, -2, -1, -1) ,Ready
(0, 0, 0, -2, 0, 0, -2, -1) ,Ready
(-1, -2, -2, 0, -3, -1, -1, 0) ,Ready
(-2, 0, 1, -3, 1, -2, -1, -2) ,Ready
(0, -2, -1, 0, 0, -1, -1, -1) ,Ready
(-1, -2, -1, 1, -1, -1, 0, -1) ,Ready
(0, -3, 0, -1, 0, -1, -1, -2) ,Ready
(-1, -1, -3, -2, -3, -2, -1, -1) ,Ready
(-2, -1, 1, -1, -1, -1, -1, -1) ,Ready
(-2, -1, -2, -1, -2, -1, -2, -1) ,Ready
(0, 0, 0, -1, -1, 0, -1, 0) ,Ready
(-2, -3, -2, -2, -2, -1, -2, -1) ,Ready
(-1, -2, -1, -2, -2, -1, -1, -1) ,Ready
(-1, -2, -2, -1, -1, 0, -1, 0) ,Ready
(-2, -1, 0, -2, -2, -1, -2, -1) ,Ready
(-2, -1, 1, -1, 0, 0, 0, 0) ,Ready
(-1, 0, -3, -1, -2, 0, -1, -1) ,Ready
(0, -1, 0, -2, 0, -2, -2, -1) ,Ready
(0, -1, 1, -2, 0, -3, -1, -1) ,Ready
(-2, -1, 1, 1, 0, -1, 0, 0) ,Ready
(-1, -2, 1, 0, -1, -1, 0, -1) ,Ready
(-1, 0, -3, -3, -2, -1, 0, -1) ,Ready
(-1, 0, 2, 1, 1, 0, 0, -2) ,Ready
(0, -2, -1, -2, -1, -2, -1, -1) ,Ready
(0, -1, -1, -1, 0, -2, -3, -2) ,Ready
(-1, -1, -1, -1, -3, -1, 0, -1) ,Ready
(-2, -2, -1, 1, 0, -2, -2, -2) ,Ready
(-1, 0, -1, -1, -1, -1, 0, -2) ,Ready
(0, -1, -1, 0, -1, 0, -2, -1) ,Ready
(0, -1, 0, -2, 0, -2, -1, 0) ,Ready
(-1, 0, -2, 0, -1, -1, -1, -2) ,Ready
(-2, -1, -1, -1, -1, -2, -1, -1) ,Ready
(0, 2, 0, -1, -2, -1, -3, -2) ,Ready
(-2, -3, -1, -1, -1, -2, -2, -2) ,Ready
(0, 0, -2, -2, -1, -2, -1, -1) ,Ready
(-1, -2, -1, 0, -1, -4, -2, -2) ,Ready
(-1, -1, 0, 0, 0, -2, 0, 1) ,Ready
(-2, -1, -1, 0, -2, 0, -3, -4) ,Ready
(-2, -1, -3, -3, -1, -1, 0, -2) ,Ready
(-1, -2, 0, -2, 0, 0, -1, -1) ,Ready
(-1, -2, -2, 0, -2, -2, 0, -1) ,Ready
(-2, -1, -2, -1, 0, -1, -2, -1) ,Ready
(-1, 0, 0, -1, -3, 0, -1, -1) ,Ready
(-1, -1, -1, -2, -1, -1, -1, -1) ,Ready
(0, -1, -1, -3, -2, -1, 0, 0) ,Ready
(0, -1, -2, -2, -1, -1, 0, 0) ,Ready
(-1, -2, 1, 1, 0, -2, -4, -1) ,Ready
(-1, -1, 0, 1, 1, -1, -3, 0) ,Ready
(-1, -2, 0, -1, 0, -1, -1, 0) ,Ready
(-2, -3, -4, -1, 0, -1, -1, -1) ,Ready
(0, 0, -1, -1, -1, 0, -2, -1) ,Ready
(-2, 1, -2, -3, -2, -1, 0, 0) ,Ready
(-1, -2, -1, -2, -1, -1, -1, 0) ,Ready
(-1, -1, 0, -1, -2, -2, -2, 0) ,Ready
(0, 1, -3, -1, -2, -1, -1, 0) ,Ready
(0, 0, -2, -3, -3, 0, -1, -2) ,Ready
(-2, -1, -2, 1, -1, 1, -2, 1) ,Ready
(0, -1, -1, -1, -2, -1, -2, -1) ,Ready
(-3, 0, 0, -2, -2, -1, -2, -1) ,Ready
(-1, -1, 0, 1, 0, 0, -1, -1) ,Ready
(-2, -2, 0, -2, -2, -1, -1, -1) ,Ready
(-2, -4, -1, -2, -1, -3, -1, -1) ,Ready
(-1, -1, -2, 1, 0, -1, 0, 1) ,Ready
(-1, -2, -1, -1, 0, -4, -1, 0) ,Ready
(0, 1, -1, -3, -2, 0, -2, -1) ,Ready
(-1, -2, 0, -2, -1, -1, -1, 1) ,Ready
(-2, -1, -1, -2, -1, -1, -2, -2) ,Ready
(-1, 0, -1, 0, -2, 0, 0, -1) ,Ready
(-1, 1, -1, -2, -1, -2, 0, -1) ,Ready
(0, -1, -1, -1, -1, -1, -2, -1) ,Ready
(0, -1, 0, -1, -1, -2, -2, -1) ,Ready
(-2, -4, -2, 0, -2, -1, -1, 0) ,Ready
(0, -3, -2, 0, -1, -3, 0, -2) ,Ready
(-1, -1, -2, 0, 0, -3, 0, -2) ,Ready
(-1, -2, 0, 0, -1, -2, -1, -2) ,Ready
(-2, -1, 0, -1, -1, -1, -1, -2) ,Ready
(-1, -2, -1, -1, 0, 0, -1, 0) ,Ready
(-2, -2, 0, -1, -1, 0, -1, -2) ,Ready
(-1, -2, -1, 0, 0, -1, -1, -2) ,Ready
(-1, 0, 0, -1, 0, -1, 0, -2) ,Ready
(-1, -1, -1, -2, -2, -1, 1, 0) ,Ready
(-2, 0, -2, -1, -1, -1, -2, -3) ,Ready
(0, 1, 4, 0, -1, -2, -1, 0) ,Ready
(-1, -2, -2, 0, -1, -1, -1, 0) ,Ready
(-1, -2, -1, -2, -2, 0, 0, 0) ,Ready
(0, -2, -2, -1, 1, 0, -2, -1) ,Ready
(0, -2, -4, 0, -2, -2, -1, -2) ,Ready
(0, 1, -2, 0, -2, 0, -3, -1) ,Ready
(-1, -1, -1, -2, -1, -2, -1, -2) ,Ready
(-2, -1, 0, 1, 1, 0, -1, 0) ,Ready
(-1, -2, -2, -1, -1, -1, -1, -2) ,Ready
(-1, 0, -1, -2, -1, 0, -2, -2) ,Ready
(-3, -2, 0, 0, -1, 0, -1, -1) ,Ready
(-2, -2, 0, -2, -2, -1, -1, 0) ,Ready
(-2, -3, 0, -2, -2, -1, -1, -2) ,Ready
(-1, -2, 1, -1, -1, -2, 0, 1) ,Ready
(0, -3, -1, -2, -1, -2, -3, -3) ,Ready
(-1, 0, -2, -1, -1, -3, 0, -2) ,Ready
(-1, 0, 0, 0, -1, 1, -1, -1) ,Ready
(0, -3, -2, -2, 0, -1, 0, 0) ,Ready
(0, -1, -1, 1, -1, 0, -1, -1) ,Ready
(-1, -1, 0, -2, 1, -1, -2, -2) ,Ready
(-1, -1, -2, -1, -2, -2, -1, 0) ,Ready
(-1, 0, 0, -1, 0, -1, -2, 0) ,Ready
(0, -1, -1, -2, -3, -1, 0, -1) ,Ready
(1, -1, -2, -3, -2, -2, -1, 0) ,Ready
(-1, -1, -1, 0, -1, -2, -2, 0) ,Ready
(-1, -3, -1, -2, -2, -1, -1, 0) ,Ready
(-3, -2, 0, -1, -1, -1, -1, -1) ,Ready
(-1, -2, 0, -1, -2, 0, -2, -2) ,Ready
(-2, -1, -2, -1, -1, -2, -1, 0) ,Ready
(-1, -2, -2, -1, -1, -1, -1, -2) ,Ready
(0, -1, -3, -2, 0, 1, -1, 0) ,Ready
(0, -2, -1, -2, -1, -2, 0, -2) ,Ready
(-1, -1, -1, -1, -1, 0, -1, -3) ,Ready
(-1, -1, 0, 1, 0, -1, 0, -1) ,Ready
(-1, -1, -2, 0, -2, -2, -1, -1) ,Ready
(-2, -2, -2, -2, -3, -1, -3, 0) ,Ready
(-1, -1, -1, 0, 0, -1, -1, 0) ,Ready
(-1, 1, -1, -2, 0, 1, -2, -2) ,Ready
(-2, -1, -2, -2, 0, 0, -2, -1) ,Ready
(-3, -1, -1, 0, 0, -1, -1, 0) ,Ready
(0, -2, -1, -1, -2, -2, -1, -1) ,Ready
(-2, -1, -1, 1, 0, -1, -1, 0) ,Ready
(0, 1, 1, -1, 0, -1, 0, 0) ,Ready
(0, -3, -3, -1, -2, 1, -1, -1) ,Ready
(-1, -1, 1, -1, 0, 0, -2, -1) ,Ready
(0, -2, -2, -1, -1, -1, -1, -2) ,Ready
(-1, 0, -2, -3, -1, -1, -2, 0) ,Ready
(-2, -2, 0, 1, -2, -2, -1, 0) ,Ready
(0, -2, -1, 0, -2, -2, 0, -1) ,Ready
(-2, -3, -1, -1, -1, -2, -2, -2) ,Ready
(0, 0, 0, 0, 0, 0, -1, -2) ,Ready
(-1, -1, -3, -1, -1, -1, -2, -1) ,Ready
(-1, -1, -3, -2, -1, -1, 0, 0) ,Ready
(-1, -2, -1, -2, -2, -1, 0, 0) ,Ready
(-1, -1, 0, -3, -2, -1, 0, -3) ,Ready
(-2, 0, -3, -1, 0, 0, 0, -2) ,Ready
(-1, -1, 0, -2, 0, 1, -1, -1) ,Ready
(-1, 0, -2, 0, -1, -2, -2, -2) ,Ready
(-3, -3, -2, 1, -2, 0, -2, -1) ,Ready
(0, 0, -1, 0, -1, -2, 0, -1) ,Ready
(-1, -1, 0, -2, -2, -1, -1, -1) ,Ready
(-2, -1, -2, -2, 0, 1, 0, 1) ,Ready
(-1, -2, 0, 0, 0, -1, 0, -1) ,Ready
(-1, 0, 1, -2, -1, 0, -1, -2) ,Ready
(-1, -2, -1, 0, 0, -1, -2, -2) ,Ready
(-2, -2, -1, 0, -2, -2, -1, -2) ,Ready
(0, -2, -2, -1, -1, -2, 0, -2) ,Ready
(-1, -2, 0, -3, -1, -1, 0, 0) ,Ready
(0, 0, -2, 1, -1, -1, 0, 0) ,Ready
(0, -1, -1, -2, -2, 0, -1, -1) ,Ready
(-1, 0, 0, -2, -2, -1, -2, -1) ,Ready
(-2, 0, -1, 0, 0, -2, -1, -2) ,Ready
(-1, 0, 0, -2, -1, -1, -1, -2) ,Ready
(0, -2, -2, -2, -2, 0, -1, -1) ,Ready
(-2, -1, -1, 0, 1, -3, -1, -2) ,Ready
(0, 0, 1, -1, 1, -1, -1, -2) ,Ready
(-2, -1, -2, -1, -2, -1, 0, -1) ,Ready
(-1, 0, 0, -1, 0, -1, -1, 0) ,Ready
(0, -3, -3, -2, -2, 1, -1, 0) ,Ready
(0, 0, -2, -1, -1, -1, -1, -1) ,Ready
(-1, -2, -2, 0, -1, -1, -2, -3) ,Ready
(-1, -1, 1, -2, 0, -1, -3, 0) ,Ready
(0, 0, -4, -1, -2, 0, -2, -1) ,Ready
(0, 0, 0, -1, 0, -1, -2, 1) ,Ready
(-3, -2, -3, 0, -1, -1, 0, -1) ,Ready
(0, 0, -1, 0, -1, -1, 1, -1) ,Ready
(0, 0, 1, 1, -1, -2, -1, -1) ,Ready
(-1, -1, 0, 0, -3, -1, 0, -2) ,Ready
(-3, -2, -1, -2, -1, -2, -3, -1) ,Ready
(-1, -2, 0, -1, -1, 0, -1, -1) ,Ready
(-2, -1, -2, -1, -1, -2, -2, 0) ,Ready
(-1, -1, -1, 0, -1, -2, -2, -2) ,Ready
(-2, 0, -1, -2, 0, 0, -2, -1) ,Ready
(-2, 0, -1, -1, 0, -2, -1, -1) ,Ready
(-2, -2, -2, -3, 1, -1, 0, 0) ,Ready
(-1, -2, 0, -1, -1, 0, -2, 1) ,Ready
(-1, -2, -3, -4, -3, -3, -2, 0) ,Ready
(0, 1, -2, 0, -2, -2, -2, -4) ,Ready
(0, -1, 1, -1, -1, -1, -1, -1) ,Ready
(-1, -1, -1, -3, -1, -1, 0, -1) ,Ready
(-1, 0, 0, 1, -1, -1, -1, -2) ,Ready
(-1, 0, 1, 0, -2, 0, -1, 0) ,Ready
(0, -2, 0, 0, 0, -1, -1, -1) ,Ready
(-2, -3, -5, -2, -1, -2, -3, 0) ,Ready
(-1, -3, -3, -2, -1, -1, -2, 1) ,Ready
(-2, -1, 0, 0, -1, 0, -2, -1) ,Ready
(-1, -1, 0, 1, 0, -3, -2, -2) ,Ready
(1, -1, -1, -1, 0, 0, -1, -2) ,Ready
(-1, -1, -1, -2, 0, -1, -2, -2) ,Ready
(0, -2, -3, -3, -2, -1, -1, -2) ,Ready
(-1, -1, -2, -1, -3, -1, -1, -1) ,Ready
(-2, 0, 0, -2, 0, -1, -2, -2) ,Ready
(-1, 0, 0, 1, -1, 0, 0, 0) ,Ready
(-1, -1, 0, 0, 0, -2, -1, 0) ,Ready
(-1, -1, -1, 0, -1, -1, -1, -1) ,Ready
(-1, 0, 1, -3, -1, -2, -2, 0) ,Ready
(-1, -2, -3, -2, -1, -1, -1, 0) ,Ready
(0, -1, -2, 2, 0, -1, -1, -1) ,Ready
(-1, 0, -1, -2, -1, -1, -2, -2) ,Ready
(-2, -2, -1, 0, -2, -1, -1, -1) ,Ready
(1, 1, 1, 1, 0, 0, 0, 0) ,Ready
(0, 0, -1, -1, -1, -2, 1, -1) ,Ready
(0, -2, -2, -2, 0, 0, -3, -1) ,Ready
(0, 0, -1, -1, 0, -1, -1, -1) ,Ready
(-1, -1, 0, -2, -1, -2, -2, -2) ,Ready
(-2, -2, -1, -2, -1, -1, -1, -1) ,Ready
(-1, 1, -2, -1, -2, -1, -1, -2) ,Ready
(-3, -1, -2, 0, -1, -2, -2, 0) ,Ready
(1, 1, 2, 3, 0, 0, -1, -2) ,Ready
(-1, -1, -2, -1, -1, 1, -2, -2) ,Ready
(-2, -1, 0, 1, 0, 0, -1, -1) ,Ready
(0, -2, -3, -2, -3, -2, -3, -2) ,Ready
(0, -1, -1, -2, 0, -1, -1, -1) ,Ready
(-1, 0, -1, 0, -1, 0, -2, -1) ,Ready
(-2, -1, 1, -1, 1, -2, -1, 0) ,Ready
(-1, -1, -4, -5, -2, -2, -1, 0) ,Ready
(-1, -2, -1, 0, -1, -1, -1, -1) ,Ready
(0, -2, -3, -1, -3, -1, 1, -2) ,Ready
(-1, -1, 1, -1, -2, -3, -1, -2) ,Ready
(-3, -1, -1, -1, 1, -1, -1, -1) ,Ready
(-1, 0, -2, -2, -2, -2, 1, -1) ,Ready
(-1, 0, 0, -1, 0, -1, 0, 0) ,Ready
(-2, -2, -2, -2, -3, -1, 0, 1) ,Ready
(-1, -1, -1, -1, -1, -2, -2, 0) ,Ready
(-3, -1, 0, -2, 0, 0, -1, -2) ,Ready
(-1, -2, -3, 1, -1, -2, -1, -2) ,Ready
(0, -1, -1, 0, 0, -1, 0, -1) ,Ready
(-1, -1, -3, -1, -2, -2, 0, -1) ,Ready
(1, 0, 0, -2, -2, 0, -1, 0) ,Ready
(-1, -2, 0, -2, -1, 0, 0, -1) ,Ready
(-1, -1, -3, -2, -1, -2, 0, -1) ,Ready
(-1, -2, 0, 1, -1, -1, -2, -1) ,Ready
(0, -1, -3, -1, -1, -1, 0, -1) ,Ready
(-1, -2, -1, 0, -1, -1, -1, 0) ,Ready
(0, -1, 0, 0, -1, -1, -2, -2) ,Ready
(-1, 0, 0, 0, -2, -1, -2, -1) ,Ready
(-2, -1, -1, -1, -4, 0, 0, -3) ,Ready
(1, -1, 1, 0, -1, -2, -1, -1) ,Ready
(-2, -1, -2, -2, 0, -1, -2, -3) ,Ready
(-2, -1, 0, -1, -1, -1, -1, -2) ,Ready
(-2, -1, 0, 0, -1, -3, -3, 0) ,Ready
(-2, -1, -2, -1, -2, 0, 0, -1) ,Ready
(-2, -2, -3, -2, -1, -1, 0, -1) ,Ready
(-1, 0, 1, -2, -1, -1, 0, 0) ,Ready
(-3, -3, -3, -2, -2, -2, -1, -2) ,Ready
(-2, 0, 1, -1, -2, -2, -1, -2) ,Ready
(0, 1, -2, 0, -1, -1, -1, 0) ,Ready
(-1, -1, 1, 0, -1, -2, -2, -1) ,Ready
(2, 0, 1, 0, 0, -1, -2, 0) ,Ready
(0, -1, -1, -3, -1, -1, -2, 0) ,Ready
(-1, -1, 1, -2, -1, 0, 0, -1) ,Ready
(0, 0, 0, -2, -3, -1, 1, -2) ,Ready
(-1, -1, 0, -2, 1, -1, -1, -1) ,Ready
(-2, -2, -2, -1, -2, -2, 0, 1) ,Ready
(-1, -2, -1, -1, -1, -1, -2, 0) ,Ready
(-1, -2, -3, -1, 0, -2, -1, -1) ,Ready
(-2, -1, -1, 0, -2, -2, -2, 0) ,Ready
(1, 0, -2, 0, 1, -1, 1, -1) ,Ready
(-3, -2, 0, 1, -2, -1, 0, 0) ,Ready
(-2, -3, -4, -1, -3, 0, -2, -2) ,Ready
(-1, 0, -1, -2, 0, -2, -1, 1) ,Ready
(1, -1, -4, -1, -1, -3, -2, -1) ,Ready
(-2, -1, -2, -1, -2, -1, -2, -1) ,Ready
(1, -1, 0, -1, 1, -1, -1, -1) ,Ready
(-2, -1, 0, -2, -1, 1, -1, -2) ,Ready
(-1, -2, 4, 0, 0, 0, -2, 0) ,Ready
(-2, 0, -1, -1, 1, -1, -1, -2) ,Ready
(-2, -1, -1, -3, 0, 0, -1, 0) ,Ready
(0, -1, -1, -1, -1, -2, -1, 0) ,Ready
(-2, -1, -2, -1, 0, -1, -2, -1) ,Ready
(-1, -1, -2, -2, -1, -2, 0, -1) ,Ready
(-2, -1, -2, 1, -1, 0, -2, 0) ,Ready
(-1, 0, -1, 0, -1, 0, 0, 0) ,Ready
(0, 1, 0, -1, -3, 0, -2, -2) ,Ready
(1, 0, 0, 1, -2, -2, -2, -1) ,Ready
(0, -2, -1, 0, -2, -1, -1, -1) ,Ready
(-1, -3, -3, 0, -1, -1, -1, -4) ,Ready
(-2, -2, -2, -3, -2, -2, -1, -1) ,Ready
(-1, -1, 1, 0, -2, 1, -1, -1) ,Ready
(0, -1, -3, -4, 0, 0, -1, 0) ,Ready
(-1, 1, -2, 1, -1, -1, -1, -2) ,Ready
(-1, 1, -2, -1, 0, 0, -3, 0) ,Ready
(-1, -1, -1, -1, -1, -2, 0, -2) ,Ready
(-1, -1, 0, -2, 0, -3, 0, 0) ,Ready
(-1, -3, -1, -2, -1, -2, -2, 0) ,Ready
(-1, 0, 0, 0, 0, 0, -1, -1) ,Ready
(-1, -1, -2, 0, -3, -1, -2, 0) ,Ready
(-2, -1, -3, 0, 1, -1, -2, -1) ,Ready
(0, -1, 0, -4, -2, 0, -1, -2) ,Ready
(-1, -1, 1, -1, -4, -1, 2, -3) ,Ready
(-1, -2, -2, -2, -4, -1, 0, -2) ,Ready
(0, 1, 0, -2, -3, -1, 0, -1) ,Ready
(-3, -1, -3, -1, -2, 0, -1, -1) ,Ready
(-1, 1, 0, 0, 0, -3, -1, -3) ,Ready
(-1, -2, 0, -2, 0, -2, -2, -3) ,Ready
(0, -2, 0, 0, 1, -1, -2, -1) ,Ready
(-1, 1, 2, -1, 0, -1, -1, 0) ,Ready
(0, -2, -2, -3, -2, -2, 0, -1) ,Ready
(-1, -3, -4, -1, 0, -2, -1, 0) ,Ready
(-1, 0, -1, 0, -2, -1, -3, 0) ,Ready
(0, -1, -1, -2, 0, -1, -2, -2) ,Ready
(-1, -1, -1, -1, -1, 1, -1, 0) ,Ready
(-1, -1, 0, -1, -1, -3, -4, -2) ,Ready
(0, 0, 0, -1, -2, -2, -2, -1) ,Ready
(-1, -1, -4, 0, 1, 0, 0, 0) ,Ready
(-1, 0, 1, 0, -1, 0, -2, 0) ,Ready
(-1, 0, -1, -3, 1, -1, 0, 0) ,Ready
(-1, -1, 0, -1, 1, -1, -1, -1) ,Ready
(-1, 0, 0, -2, -1, 0, -1, 0) ,Ready
(-1, -2, 0, 0, 0, -2, 0, -1) ,Ready
(-1, -1, -4, -1, -1, 0, -1, 0) ,Ready
(0, -4, -4, -2, -3, -3, -1, 0) ,Ready
(-2, -1, 0, -4, -3, -1, -1, -1) ,Ready
(-1, -1, -2, -1, -2, 0, 0, -1) ,Ready
(0, -1, 0, -2, -1, -1, -1, 0) ,Ready
(-3, -2, -2, 0, -1, -2, -1, -2) ,Ready
(-1, -2, -1, 0, -2, -3, -1, -1) ,Ready
(-1, -2, -2, -1, -1, -1, -1, -2) ,Ready
(-2, -1, -2, 0, -1, -1, -2, -1) ,Ready
(-1, 0, 1, 1, -1, 0, -1, -2) ,Ready
(0, -2, -1, 0, 0, 0, -1, 0) ,Ready
(-1, 0, -1, -2, -1, -2, -1, -1) ,Ready
(-2, -1, -2, -2, -2, 0, 0, -1) ,Ready
(-2, -1, -2, -1, -2, -1, 0, 0) ,Ready
(-1, 0, 0, -2, -1, -1, 0, -1) ,Ready
(-1, -1, 1, 0, 0, 0, 0, 1) ,Ready
(-2, -2, -2, 0, -1, 0, -2, -1) ,Ready
(0, -2, -1, 0, 0, -1, -1, -1) ,Ready
(-1, -1, 0, 0, -1, -1, 0, -1) ,Ready
(0, -1, -1, -1, 0, 0, -2, 0) ,Ready
(-1, -1, -1, -1, -1, 0, 0, -1) ,Ready
(-2, 0, -1, -2, 0, 0, -1, -2) ,Ready
(0, -1, -2, 0, 0, -2, -2, -2) ,Ready
(-1, -3, -3, -3, -2, -1, -2, -1) ,Ready
(-1, 0, 1, -1, -2, -1, 1, 0) ,Ready
(0, 0, -1, -1, -1, 1, 0, -1) ,Ready
(-2, -1, -1, -2, 0, 0, 0, -2) ,Ready
(-1, 0, 0, 0, 1, 1, -2, -2) ,Ready
(-1, -2, -4, 0, 0, -2, -2, -1) ,Ready
(-1, -1, -1, -1, 0, -1, -1, -2) ,Ready
(-1, -1, -1, 0, -2, -3, -3, -2) ,Ready
(0, -1, 2, -1, -1, -1, 0, 0) ,Ready
(0, -1, -2, -5, -1, -1, 0, -1) ,Ready
(0, 0, -2, -1, -1, 0, -1, -1) ,Ready
(-2, -2, -1, 0, 0, -1, -1, 1) ,3
(-1, 0, -2, 0, 0, -2, -1, -2) ,3
(0, -3, -1, 0, -2, -2, -2, -2) ,3
(-3, -3, 0, 0, 0, -2, -1, -3) ,3
(0, -1, -3, -2, -4, 1, 1, -1) ,3
(-2, -3, -4, -4, -1, 0, -2, -2) ,3
(-1, -1, -1, 0, 1, -3, -3, -2) ,3
(-1, 0, 2, 0, 0, -1, 0, 0) ,3
(-1, -1, -1, -3, -2, -2, -3, -3) ,3
(-1, -2, -1, -2, -2, -2, -2, 1) ,3
(0, 1, -1, 0, -2, -1, -2, -4) ,3
(0, 0, -1, -2, 0, -2, -3, -1) ,3
(1, -1, 2, 0, 0, -1, -2, -1) ,3
(0, 0, -3, 0, 0, -2, 0, -1) ,3
(-2, 0, 1, -2, -1, -1, 0, -1) ,3
(-2, -1, 0, 1, -1, -1, -1, 0) ,3
(1, -2, -2, -1, -1, -2, -1, -2) ,3
(-1, -2, -3, -1, 0, -1, 0, 0) ,3
(0, -2, 0, -1, -1, 0, -1, 0) ,3
(-1, -1, 0, -4, -2, -1, -1, -1) ,3
(-3, -1, 0, 1, -1, -1, -1, 1) ,3
(-1, 0, -1, -1, -2, -1, -2, -1) ,3
(0, -1, 0, 3, -1, -1, 2, -1) ,3
(-2, -2, -4, -3, -2, -2, -1, 1) ,3
(-1, -2, -2, -2, 0, -1, -1, -1) ,3
(0, 0, 0, -1, 0, 0, -2, -1) ,3
(-2, -1, 1, 0, 0, 0, -2, 1) ,3
(-2, 0, 1, 1, -1, -1, 0, -1) ,3
